time_MS,frame,ID,top_left,top_right,bottom_right,bottom_left
0.0,1.0,18,"(538.0, 863.0)","(512.0, 867.0)","(504.0, 840.0)","(529.0, 837.0)"
0.0,1.0,20,"(162.0, 805.0)","(155.0, 779.0)","(174.0, 777.0)","(181.0, 804.0)"
0.0,1.0,11,"(285.0, 737.0)","(279.0, 711.0)","(291.0, 714.0)","(297.0, 741.0)"
0.0,1.0,19,"(144.0, 689.0)","(140.0, 661.0)","(161.0, 656.0)","(165.0, 684.0)"
0.0,1.0,17,"(1071.0, 597.0)","(1039.0, 598.0)","(1039.0, 567.0)","(1070.0, 567.0)"
0.0,1.0,13,"(674.0, 565.0)","(667.0, 596.0)","(637.0, 589.0)","(645.0, 558.0)"
0.0,1.0,12,"(1279.0, 467.0)","(1295.0, 434.0)","(1329.0, 450.0)","(1314.0, 484.0)"
0.0,1.0,14,"(162.0, 906.0)","(167.0, 884.0)","(176.0, 898.0)","(171.0, 919.0)"
0.0,1.0,15,"(1286.0, 783.0)","(1266.0, 763.0)","(1282.0, 743.0)","(1301.0, 764.0)"
25.0,2.0,18,"(538.0, 863.0)","(512.0, 867.0)","(504.0, 840.0)","(529.0, 837.0)"
25.0,2.0,20,"(162.0, 805.0)","(155.0, 778.0)","(173.0, 776.0)","(180.0, 803.0)"
25.0,2.0,11,"(286.0, 737.0)","(280.0, 710.0)","(291.0, 713.0)","(297.0, 740.0)"
25.0,2.0,19,"(144.0, 689.0)","(140.0, 661.0)","(161.0, 656.0)","(165.0, 684.0)"
25.0,2.0,17,"(1071.0, 597.0)","(1039.0, 597.0)","(1039.0, 568.0)","(1070.0, 567.0)"
25.0,2.0,13,"(674.0, 565.0)","(667.0, 596.0)","(637.0, 589.0)","(645.0, 558.0)"
25.0,2.0,12,"(1279.0, 467.0)","(1294.0, 434.0)","(1329.0, 449.0)","(1314.0, 483.0)"
25.0,2.0,14,"(162.0, 906.0)","(167.0, 884.0)","(176.0, 898.0)","(171.0, 919.0)"
25.0,2.0,9,"(1153.0, 23.0)","(1125.0, 27.0)","(1119.0, 9.0)","(1147.0, 4.0)"
66.0,3.0,18,"(538.0, 863.0)","(512.0, 866.0)","(504.0, 840.0)","(529.0, 837.0)"
66.0,3.0,20,"(162.0, 804.0)","(154.0, 777.0)","(173.0, 775.0)","(180.0, 802.0)"
66.0,3.0,11,"(286.0, 738.0)","(279.0, 712.0)","(289.0, 715.0)","(296.0, 741.0)"
66.0,3.0,19,"(144.0, 690.0)","(139.0, 662.0)","(161.0, 657.0)","(165.0, 684.0)"
66.0,3.0,17,"(1071.0, 597.0)","(1039.0, 597.0)","(1039.0, 568.0)","(1070.0, 567.0)"
66.0,3.0,13,"(674.0, 565.0)","(667.0, 597.0)","(637.0, 590.0)","(645.0, 559.0)"
66.0,3.0,12,"(1279.0, 467.0)","(1294.0, 433.0)","(1329.0, 449.0)","(1314.0, 483.0)"
66.0,3.0,14,"(162.0, 906.0)","(167.0, 884.0)","(176.0, 898.0)","(171.0, 919.0)"
66.0,3.0,9,"(1155.0, 24.0)","(1125.0, 27.0)","(1119.0, 9.0)","(1147.0, 4.0)"
106.0,4.0,18,"(538.0, 863.0)","(512.0, 866.0)","(504.0, 840.0)","(529.0, 837.0)"
106.0,4.0,20,"(161.0, 802.0)","(154.0, 775.0)","(172.0, 773.0)","(179.0, 800.0)"
106.0,4.0,11,"(285.0, 739.0)","(278.0, 714.0)","(287.0, 717.0)","(295.0, 743.0)"
106.0,4.0,19,"(144.0, 690.0)","(139.0, 663.0)","(161.0, 657.0)","(165.0, 684.0)"
106.0,4.0,17,"(1071.0, 597.0)","(1039.0, 598.0)","(1039.0, 568.0)","(1070.0, 567.0)"
106.0,4.0,13,"(675.0, 566.0)","(668.0, 597.0)","(638.0, 591.0)","(645.0, 560.0)"
106.0,4.0,12,"(1277.0, 466.0)","(1292.0, 433.0)","(1328.0, 449.0)","(1312.0, 483.0)"
106.0,4.0,14,"(162.0, 906.0)","(167.0, 883.0)","(176.0, 898.0)","(171.0, 918.0)"
106.0,4.0,15,"(1272.0, 780.0)","(1250.0, 762.0)","(1263.0, 741.0)","(1286.0, 759.0)"
106.0,4.0,9,"(1155.0, 24.0)","(1125.0, 27.0)","(1119.0, 9.0)","(1147.0, 4.0)"
146.0,5.0,18,"(538.0, 863.0)","(512.0, 867.0)","(504.0, 841.0)","(529.0, 837.0)"
146.0,5.0,20,"(160.0, 797.0)","(153.0, 770.0)","(171.0, 766.0)","(178.0, 794.0)"
146.0,5.0,19,"(144.0, 690.0)","(139.0, 663.0)","(161.0, 657.0)","(164.0, 685.0)"
146.0,5.0,17,"(1071.0, 598.0)","(1040.0, 598.0)","(1040.0, 568.0)","(1071.0, 568.0)"
