time_MS,frame,ID,top_left,top_right,bottom_right,bottom_left
0.0,1.0,20,"(1574.0, 989.0)","(1583.0, 949.0)","(1617.0, 952.0)","(1608.0, 991.0)"
0.0,1.0,18,"(1782.0, 247.0)","(1788.0, 214.0)","(1823.0, 223.0)","(1816.0, 256.0)"
0.0,1.0,16,"(1965.0, 915.0)","(1960.0, 881.0)","(1992.0, 869.0)","(1997.0, 903.0)"
0.0,1.0,17,"(610.0, 721.0)","(601.0, 693.0)","(628.0, 684.0)","(637.0, 713.0)"
0.0,1.0,14,"(312.0, 636.0)","(326.0, 624.0)","(339.0, 647.0)","(324.0, 659.0)"
41.0,2.0,20,"(1573.0, 989.0)","(1583.0, 949.0)","(1617.0, 952.0)","(1608.0, 991.0)"
41.0,2.0,16,"(1965.0, 915.0)","(1960.0, 881.0)","(1992.0, 869.0)","(1998.0, 903.0)"
41.0,2.0,18,"(1782.0, 247.0)","(1788.0, 214.0)","(1823.0, 223.0)","(1816.0, 257.0)"
41.0,2.0,17,"(610.0, 722.0)","(601.0, 693.0)","(628.0, 685.0)","(637.0, 714.0)"
41.0,2.0,14,"(311.0, 633.0)","(326.0, 620.0)","(339.0, 643.0)","(324.0, 655.0)"
80.0,3.0,20,"(1573.0, 989.0)","(1583.0, 949.0)","(1617.0, 952.0)","(1608.0, 991.0)"
80.0,3.0,16,"(1965.0, 915.0)","(1959.0, 882.0)","(1992.0, 869.0)","(1997.0, 903.0)"
80.0,3.0,18,"(1782.0, 247.0)","(1788.0, 214.0)","(1822.0, 224.0)","(1816.0, 257.0)"
80.0,3.0,17,"(610.0, 723.0)","(602.0, 694.0)","(629.0, 686.0)","(638.0, 716.0)"
80.0,3.0,14,"(311.0, 627.0)","(326.0, 616.0)","(338.0, 639.0)","(324.0, 651.0)"
121.0,4.0,20,"(1572.0, 990.0)","(1583.0, 950.0)","(1616.0, 953.0)","(1607.0, 992.0)"
121.0,4.0,16,"(1964.0, 916.0)","(1959.0, 882.0)","(1992.0, 869.0)","(1997.0, 904.0)"
121.0,4.0,14,"(312.0, 618.0)","(326.0, 606.0)","(338.0, 629.0)","(323.0, 639.0)"
121.0,4.0,18,"(1782.0, 247.0)","(1788.0, 214.0)","(1822.0, 224.0)","(1815.0, 257.0)"
200.0,5.0,20,"(1572.0, 990.0)","(1583.0, 950.0)","(1616.0, 953.0)","(1607.0, 992.0)"
200.0,5.0,16,"(1964.0, 917.0)","(1958.0, 884.0)","(1991.0, 870.0)","(1998.0, 904.0)"
200.0,5.0,18,"(1782.0, 247.0)","(1788.0, 214.0)","(1822.0, 223.0)","(1815.0, 257.0)"
241.0,6.0,20,"(1572.0, 990.0)","(1583.0, 950.0)","(1616.0, 953.0)","(1607.0, 992.0)"
241.0,6.0,16,"(1963.0, 917.0)","(1958.0, 884.0)","(1991.0, 872.0)","(1996.0, 905.0)"
241.0,6.0,18,"(1782.0, 247.0)","(1789.0, 213.0)","(1822.0, 223.0)","(1815.0, 257.0)"
281.0,7.0,20,"(1572.0, 990.0)","(1583.0, 950.0)","(1616.0, 953.0)","(1607.0, 992.0)"
281.0,7.0,16,"(1962.0, 917.0)","(1957.0, 884.0)","(1990.0, 872.0)","(1995.0, 905.0)"
281.0,7.0,18,"(1782.0, 247.0)","(1789.0, 214.0)","(1823.0, 223.0)","(1816.0, 257.0)"
321.0,8.0,20,"(1573.0, 990.0)","(1583.0, 950.0)","(1616.0, 953.0)","(1607.0, 992.0)"
321.0,8.0,16,"(1962.0, 917.0)","(1957.0, 883.0)","(1990.0, 871.0)","(1995.0, 905.0)"
321.0,8.0,17,"(612.0, 726.0)","(606.0, 697.0)","(635.0, 692.0)","(640.0, 722.0)"
321.0,8.0,18,"(1782.0, 246.0)","(1790.0, 213.0)","(1823.0, 224.0)","(1816.0, 256.0)"
400.0,9.0,20,"(1573.0, 990.0)","(1583.0, 951.0)","(1616.0, 953.0)","(1607.0, 992.0)"
400.0,9.0,16,"(1963.0, 917.0)","(1957.0, 883.0)","(1991.0, 871.0)","(1995.0, 905.0)"
400.0,9.0,18,"(1782.0, 246.0)","(1790.0, 213.0)","(1823.0, 224.0)","(1816.0, 256.0)"
400.0,9.0,17,"(612.0, 727.0)","(606.0, 697.0)","(634.0, 692.0)","(639.0, 722.0)"
441.0,10.0,20,"(1573.0, 990.0)","(1583.0, 951.0)","(1617.0, 953.0)","(1608.0, 992.0)"
441.0,10.0,16,"(1963.0, 917.0)","(1957.0, 883.0)","(1990.0, 871.0)","(1995.0, 905.0)"
441.0,10.0,14,"(313.0, 557.0)","(329.0, 542.0)","(341.0, 563.0)","(326.0, 578.0)"
441.0,10.0,18,"(1783.0, 246.0)","(1790.0, 213.0)","(1823.0, 223.0)","(1817.0, 256.0)"
481.0,11.0,20,"(1574.0, 991.0)","(1584.0, 951.0)","(1617.0, 953.0)","(1608.0, 992.0)"
481.0,11.0,16,"(1963.0, 917.0)","(1957.0, 883.0)","(1990.0, 871.0)","(1995.0, 905.0)"
481.0,11.0,11,"(1396.0, 603.0)","(1370.0, 586.0)","(1390.0, 562.0)","(1413.0, 579.0)"
481.0,11.0,14,"(314.0, 549.0)","(328.0, 534.0)","(341.0, 557.0)","(326.0, 571.0)"
481.0,11.0,18,"(1785.0, 246.0)","(1791.0, 214.0)","(1825.0, 224.0)","(1819.0, 256.0)"
521.0,12.0,20,"(1574.0, 991.0)","(1584.0, 951.0)","(1617.0, 953.0)","(1608.0, 992.0)"
521.0,12.0,16,"(1963.0, 917.0)","(1957.0, 883.0)","(1990.0, 871.0)","(1995.0, 905.0)"
521.0,12.0,18,"(1786.0, 247.0)","(1792.0, 214.0)","(1826.0, 224.0)","(1820.0, 257.0)"
600.0,13.0,20,"(1574.0, 991.0)","(1584.0, 951.0)","(1617.0, 953.0)","(1608.0, 992.0)"
600.0,13.0,16,"(1963.0, 917.0)","(1957.0, 883.0)","(1990.0, 871.0)","(1995.0, 905.0)"
600.0,13.0,18,"(1786.0, 247.0)","(1792.0, 214.0)","(1826.0, 224.0)","(1820.0, 257.0)"
641.0,14.0,20,"(1574.0, 991.0)","(1584.0, 951.0)","(1617.0, 953.0)","(1608.0, 992.0)"
641.0,14.0,16,"(1962.0, 916.0)","(1957.0, 883.0)","(1990.0, 871.0)","(1995.0, 904.0)"
641.0,14.0,18,"(1786.0, 247.0)","(1792.0, 214.0)","(1826.0, 224.0)","(1819.0, 257.0)"
641.0,14.0,17,"(611.0, 728.0)","(607.0, 698.0)","(635.0, 694.0)","(639.0, 724.0)"
641.0,14.0,12,"(1174.0, 544.0)","(1147.0, 531.0)","(1162.0, 504.0)","(1188.0, 518.0)"
681.0,15.0,20,"(1574.0, 991.0)","(1584.0, 951.0)","(1617.0, 953.0)","(1608.0, 992.0)"
681.0,15.0,16,"(1963.0, 916.0)","(1957.0, 882.0)","(1990.0, 870.0)","(1995.0, 904.0)"
681.0,15.0,18,"(1786.0, 248.0)","(1792.0, 215.0)","(1826.0, 224.0)","(1820.0, 257.0)"
681.0,15.0,17,"(611.0, 728.0)","(607.0, 698.0)","(636.0, 695.0)","(640.0, 724.0)"
721.0,16.0,20,"(1574.0, 991.0)","(1584.0, 951.0)","(1617.0, 954.0)","(1608.0, 992.0)"
721.0,16.0,16,"(1963.0, 916.0)","(1957.0, 882.0)","(1991.0, 870.0)","(1996.0, 903.0)"
721.0,16.0,18,"(1786.0, 249.0)","(1792.0, 215.0)","(1826.0, 225.0)","(1820.0, 258.0)"
721.0,16.0,17,"(611.0, 728.0)","(608.0, 698.0)","(636.0, 695.0)","(640.0, 724.0)"
800.0,17.0,20,"(1574.0, 991.0)","(1584.0, 951.0)","(1617.0, 954.0)","(1610.0, 993.0)"
800.0,17.0,16,"(1963.0, 915.0)","(1957.0, 882.0)","(1991.0, 870.0)","(1996.0, 903.0)"
800.0,17.0,17,"(611.0, 728.0)","(608.0, 698.0)","(636.0, 695.0)","(640.0, 724.0)"
